sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tp,tn,don,np,benthic_type,afdm,chl,chl_afdm,m,conductivity,time,dry_mass,perc_om
102,Madison,MC,MD,PO,45.7873,-111.5124,9.59,108,21.2,15.861,2.284,2.6,1,63,13.7,157.4,153.8,0.1,,,,,1281,237,0.53,,
103,Madison,OC,MD,FC,45.7746,-111.5168,9.36,103.1,20.1,16.112,2.339,4.9,1.3,65,15,184.9,178.6,0.2,Epilithon,14.046,15.27,0.011,1283,238.3,0.47,17.99,78.1
104,Madison,MC,MD,SL,45.7855,-111.5137,9.51,109.8,22.5,16.103,2.409,2.4,1,64.3,13.1,153.2,149.8,0.1,Epilithon,1.652,57.28,0.347,1285,234,0.6,5.85,28.2
106,Madison,OC,MD,BK,45.7853,-111.5137,10.19,120.3,23.6,15.871,2.445,59.3,1.3,69.3,18.4,188.2,127.6,1.9,FBOM,9.594,93.83,0.098,1284,233.7,0.62,42.61,22.5
108,Madison,MC,MD,CZ,45.7752,-111.5178,9.25,101.5,19.8,14.596,1.867,11.1,1.3,74.7,18.9,129.8,117.4,0.4,Epilithon,19.161,51.59,0.027,1284,237.9,0.45,31.06,61.7
110,Madison,OC,MD,PN,45.7766,-111.5161,2.2,20.2,11.6,19.048,1.764,13.8,10,70.7,12,106.8,83,0.7,Epilithon,12.62,75.85,0.06,1286,354.6,0.43,56.88,22.2
111,Madison,OC,MD,PN,45.7784,-111.5159,4.58,50.3,19.9,21.461,3.049,48.4,1.7,83,,,,1.3,Epilithon,1.427,23.6,0.165,1289,397,0.39,4.8,29.7
112,Madison,MC,DW,SR,45.8221,-111.5007,6.99,88.7,19.7,15.659,2.227,76.5,2.7,60.3,18.1,195.5,116.4,2.9,Epilithon,2.469,45.84,0.186,1263,234.9,0.46,4.26,57.9
113,Madison,MC,DW,RN,45.816,-111.5052,7.24,99.3,23.1,14.075,2.293,6.9,3.3,65.7,15.4,165.3,155.1,0.3,Epilithon,15.276,57.93,0.038,1271,224.6,0.57,32.67,46.8
114,Madison,MC,DW,PO,45.8167,-111.5029,8.64,105.6,25.5,16.093,2.43,4.8,1,68.7,29.4,206.6,200.8,0.2,,,,,1273,235.1,0.72,,
115,Madison,OC,DW,FC,45.8125,-111.5026,8.87,108.9,25.4,15.175,2.374,1.5,1,64.7,15.8,179.4,176.9,0.1,Epilithon,3.116,14.37,0.046,1283,234.8,0.7,7.63,40.8
116,Madison,MC,DW,SL,45.8144,-111.5043,7.16,98.6,23.6,13.905,2.198,1.5,1,62,17.1,180.7,178.2,0.1,Epilithon,0.892,55.55,0.622,1278,234.9,0.61,2.46,36.3
118,Madison,OC,DW,BK,45.8165,-111.5045,8.88,121.1,23.2,15.768,2.287,5.2,1,61.3,19.8,190.8,184.6,0.2,FBOM,13.288,174.49,0.131,1273,225.8,0.55,62.06,21.4
120,Madison,MC,DW,CZ,45.8192,-111.5016,8.6,105.5,25.7,15.976,2.288,2.6,1,65,20.9,203.8,200.2,0.1,Epilithon,6.406,189.45,0.296,1271,234.63,0.74,12.25,52.3
122,Madison,OC,DW,PN,45.8125,-111.503,4.39,52,22.7,14.035,1.989,99.3,5.3,91,20.7,152.3,47.6,2.5,FBOM,3.885,93.25,0.24,1280,198.63,0.67,18.02,21.6
123,Clark fork,MC,UP,SR,46.6066,-113.0423,6.84,83.2,17.7,5.938,2.815,1.5,1.5,40,29.1,225.7,222.7,0.2,Epilithon,1.908,48.29,0.253,1235,388.2,0.47,6.35,30.1
124,Clark fork,MC,UP,RN,46.6088,-113.0455,9.54,104.9,19.9,5.317,2.859,1.5,1.5,47.7,31.6,305,302,0.1,Epilithon,6.31,134.61,0.213,1243,385.1,0.54,18.41,34.3
125,Clark fork,MC,UP,PO,46.6088,-113.0432,6.68,80.2,17.2,5.567,2.654,1.5,1.5,54,34.3,259.8,256.8,0.1,,,,,1235,389.7,0.45,,
126,Clark fork,MC,UP,SL,46.6084,-113.0438,6.61,78.8,16.9,4.467,2.654,246.9,2.8,69.7,19.7,251.5,1.7,7.9,Epilithon,6.35,44.21,0.07,1235,388.2,0.43,18.6,34.1
128,Clark fork,OC,UP,BK,46.6101,-113.0461,6.31,75.7,17.3,4.931,2.893,29.4,1.5,49,55.9,952.3,921.4,1.4,FBOM,28.48,369.27,0.13,1234,384.8,0.4,390.88,7.3
130,Clark fork,MC,UP,CZ,46.6127,-113.0463,9.58,103.5,19.1,5.996,2.675,2,4.8,46.3,27.9,263.5,256.7,0.3,FBOM,8.433,51.17,0.061,1239,427.9,0.57,146.27,5.8
132,Clark fork,OC,UP,PS,46.61,-113.0466,4.63,54.2,16.1,4.797,1.947,8.4,1.5,95,80.3,169.1,159.2,0.2,FBOM,9.272,277.41,0.299,1234,328.9,0.39,46.61,19.9
134,Clark fork,OC,UP,OS,46.6081,-113.0441,2.57,25.9,15.8,5.094,1.807,1.5,1.5,47.7,32.2,137.7,134.7,0.1,FBOM,9.968,142.8,0.143,1248,413.8,0.52,92.14,10.8
